epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2165.58,1.44492,1.65543,1.57208,0.67084,0.52779,0.56855,0.25603,1.67957,1.30811,1.62604,0.0076636,0.0076636,0.0076636
61,2201.9,1.45208,1.64055,1.59565,0.51267,0.55556,0.53189,0.22618,1.8349,1.41814,1.79422,0.007624,0.007624,0.007624
62,2237.05,1.40808,1.61309,1.55853,0.59558,0.56576,0.57433,0.26544,1.64825,1.36338,1.61909,0.0075844,0.0075844,0.0075844
63,2272.97,1.4511,1.68919,1.60157,0.6101,0.59136,0.59367,0.26726,1.70699,1.46602,1.69831,0.0075448,0.0075448,0.0075448
64,2308.74,1.45356,1.65152,1.59321,0.63885,0.57702,0.59901,0.25922,1.71374,1.68894,1.68885,0.0075052,0.0075052,0.0075052
65,2345.07,1.43817,1.63384,1.58582,0.59187,0.53918,0.52137,0.17128,2.11174,1.51538,2.11889,0.0074656,0.0074656,0.0074656
66,2381.7,1.47394,1.64702,1.60728,0.57465,0.59974,0.57192,0.24847,1.74317,1.39554,1.69141,0.007426,0.007426,0.007426
67,2416.89,1.43663,1.63149,1.57549,0.49798,0.60325,0.53881,0.21288,1.85593,1.7156,1.8149,0.0073864,0.0073864,0.0073864
68,2452.26,1.4412,1.6187,1.574,0.54801,0.62093,0.56161,0.27214,1.57973,1.20207,1.55447,0.0073468,0.0073468,0.0073468
69,2487.96,1.42199,1.62762,1.56705,0.55055,0.5789,0.52878,0.22461,1.76222,1.36902,1.71158,0.0073072,0.0073072,0.0073072
70,2523.96,1.407,1.58997,1.56911,0.58194,0.6552,0.5891,0.23084,1.91188,1.42563,1.84224,0.0072676,0.0072676,0.0072676
71,2558.86,1.40673,1.5924,1.55521,0.65897,0.58453,0.60965,0.29539,1.56559,1.31876,1.55155,0.007228,0.007228,0.007228
72,2594.85,1.41376,1.58181,1.58041,0.61613,0.57188,0.57049,0.26631,1.72605,1.30717,1.67893,0.0071884,0.0071884,0.0071884
73,2630.63,1.41112,1.59849,1.57574,0.64573,0.6672,0.62033,0.27875,1.71007,1.18689,1.65844,0.0071488,0.0071488,0.0071488
74,2666.27,1.40799,1.57851,1.56129,0.65694,0.65759,0.60888,0.26292,1.7398,1.33082,1.72955,0.0071092,0.0071092,0.0071092
75,2701.92,1.41771,1.59271,1.56503,0.55405,0.64002,0.58427,0.26933,1.59872,1.26144,1.60202,0.0070696,0.0070696,0.0070696
76,2738.08,1.41501,1.60367,1.56807,0.65568,0.60078,0.59275,0.22553,1.89796,1.43232,1.82207,0.00703,0.00703,0.00703
77,2774.07,1.41221,1.6027,1.57399,0.67393,0.66735,0.62168,0.29212,1.64089,1.20735,1.57958,0.0069904,0.0069904,0.0069904
78,2809.81,1.39982,1.56345,1.5556,0.63952,0.59853,0.55763,0.26003,1.68016,1.32128,1.60643,0.0069508,0.0069508,0.0069508
79,2845.53,1.40162,1.55691,1.54678,0.58277,0.58676,0.56821,0.29859,1.55025,1.19832,1.52542,0.0069112,0.0069112,0.0069112
80,2881.15,1.42042,1.59413,1.57558,0.62585,0.58041,0.55762,0.2401,1.78443,1.33248,1.69819,0.0068716,0.0068716,0.0068716
81,2917.02,1.39675,1.52925,1.55787,0.55551,0.57581,0.52045,0.16783,2.19823,1.46108,2.14824,0.006832,0.006832,0.006832
82,2953.14,1.38433,1.52536,1.54598,0.58033,0.6006,0.57155,0.22344,1.87763,1.3248,1.82242,0.0067924,0.0067924,0.0067924
83,2988.93,1.37706,1.51706,1.54209,0.62974,0.56325,0.58163,0.25715,1.72104,1.25786,1.67777,0.0067528,0.0067528,0.0067528
84,3024.4,1.4016,1.57061,1.53845,0.65135,0.66438,0.63182,0.26066,1.7116,1.26649,1.69028,0.0067132,0.0067132,0.0067132
85,3060.17,1.38446,1.53461,1.53465,0.60622,0.63599,0.60026,0.28561,1.61458,1.2436,1.55771,0.0066736,0.0066736,0.0066736
86,3095.58,1.38255,1.53609,1.54591,0.63573,0.65788,0.60904,0.28085,1.66519,1.20527,1.64286,0.006634,0.006634,0.006634
87,3131.64,1.38664,1.57044,1.53968,0.59295,0.66709,0.59822,0.29682,1.5618,1.3927,1.53874,0.0065944,0.0065944,0.0065944
